StatisticCrimeGroup,StatisticCrimeType,Crime,Excluded
עבירות סדר ציבורי,הפרעות במהלך בחירות תקין,תהלוכה אסורה,
עבירות סדר ציבורי,הפרעות במהלך בחירות תקין,תעמולה באמצעות מודעות,
עבירות סדר ציבורי,הפרעות במהלך בחירות תקין,תעמולה באמצעות רכב,
עבירות סדר ציבורי,הפרעות במהלך בחירות תקין,תעמולת בחירות ע'י עובד מדינה /חייל,
עבירות סדר ציבורי,הפרעות במהלך בחירות תקין,תרומה לסיעה/רשימה ראש מועצה אזורית,
עבירות סדר ציבורי,הפרעות במהלך בחירות תקין,תשלום לקנית זכות הצבעה לאחר,
עבירות סדר ציבורי,התבטאויות גזעניות,איסור התבטאות גזענית,
עבירות סדר ציבורי,התבטאויות גזעניות,איסור כניסה לשדה המשחק,
עבירות סדר ציבורי,התקהלות או התאגדות,הפרעה במתן צו פיזור,
עבירות סדר ציבורי,התקהלות או התאגדות,השתתפות בהתפרעות,
עבירות סדר ציבורי,התקהלות או התאגדות,השתתפות בהתפרעות לאחר הוראת פזור,
עבירות סדר ציבורי,התקהלות או התאגדות,השתתפות בהתקהלות אסורה,
עבירות סדר ציבורי,התקהלות או התאגדות,השתתפות בהתקהלות בלתי חוקית,
עבירות סדר ציבורי,התקהלות או התאגדות,השתתפות בהתקהלות בלתי חוקית,
עבירות סדר ציבורי,התקהלות או התאגדות,התקהלות בלתי חוקית,
עבירות סדר ציבורי,התקהלות או התאגדות,חברות בהתאגדות אסורה,1
עבירות סדר ציבורי,התקהלות או התאגדות,חברות בהתאגדות בלתי חוקית,
עבירות סדר ציבורי,התקהלות או התאגדות,מטיף להתאגדות אסורה,1
עבירות סדר ציבורי,התקהלות או התאגדות,מתן תרומות להתאגדות לא חוקית,
עבירות סדר ציבורי,התקהלות או התאגדות,פרסום כתבי התאגדות אסורה,1
עבירות סדר ציבורי,התקהלות או התאגדות,תרומות או שידול להתאגדות אסורה,1
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",אי הארת מקום עבודה בדרך ציבורית,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",אי התקנת אזעקה בנכס,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",אי התקנת משתיקי קול ברכב מנועי,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",אי מניעת רעש בעלי חיים,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",אי מניעת רעש מזגנים - חובת יצרן,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",אי מניעת רעש מזגנים ומדחסים,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",אי תקון מבנה מסוכן,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",אי תקון תנור או ארובה עשנים,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",בניה בשעות אסורות,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",גורם ללכלוך בדרך ציבורית,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",הפעלת נשק או זיקוקין בדרך צבורית,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",הקמת רעש או הפרעת מנוחת הצבור,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",התנהגות העלולה להפר שלום הציבור,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",חסימה או הפרעה בדרך ציבורית,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",טלטול מיכלים הגורם רעש בשעות אסורות,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",כבוי פנס המשמש כהארת דרך ציבורית,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",מוציא לכלוך ודברים אחרים לדרך צבורי,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",מטרד לציבור,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",מטרד לרבים,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",מטרד ע'י העוסקים בזנות,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",מטרדים - הפעלת בלם חירום שלא לצורך,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",מיכשול ברשות הרבים ע'י בהמה,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",מכשול ברשות הרבים,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",מלאכות  פוגעות,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",סיכון דרכים ונתיבי שיט,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",פרסומת והודעות באמצעות מגבירי קול,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",רעש באמצעות מכשיר קול,
עבירות סדר ציבורי,"מטרד, רעש וחסימת דרך",תיקונים ושפוצים בשעות אסורות,
עבירות סדר ציבורי,משחקים אסורים והימורים,איסור מכירת כרטיסי הגרלה לקטינים,
עבירות סדר ציבורי,משחקים אסורים והימורים,איסור מכירת כרטיסי הימורים לקטינים,
עבירות סדר ציבורי,משחקים אסורים והימורים,"ארגון, עריכת משחקים, הגרלות והמורים",
עבירות סדר ציבורי,משחקים אסורים והימורים,הגרלות והימורים אסורים-מארגן/עורך,
עבירות סדר ציבורי,משחקים אסורים והימורים,החזקת מקום להימורים או הגרלות,
עבירות סדר ציבורי,משחקים אסורים והימורים,"החזקת מקום למשחקים, הגרלות והמורים",
עבירות סדר ציבורי,משחקים אסורים והימורים,"השכרת מקום למשחקים, הגרלות והימורים",
עבירות סדר ציבורי,משחקים אסורים והימורים,השכרת מקום לנהול הימורים או כד',
עבירות סדר ציבורי,משחקים אסורים והימורים,השתתפות בעריכת הגרלות והימורים,
עבירות סדר ציבורי,משחקים אסורים והימורים,משחקים אסורים-משחק/משתתף,
עבירות סדר ציבורי,משחקים אסורים והימורים,ניהול בית הימורים,
עבירות סדר ציבורי,משחקים אסורים והימורים,עריכת הגרלות והימורים,
עבירות סדר ציבורי,משחקים אסורים והימורים,פתיחת/ניהול/שימוש במקום להגרלות,
עבירות סדר ציבורי,נשיאה וייצור סכינים ופגיונות,איסור נשיאה או החזקה של צעצוע מסוכן,
עבירות סדר ציבורי,ספסרות בכרטיסי מופעים,איסור ספסרות בכרטיסי מופעים,
עבירות סדר ציבורי,ספסרות בכרטיסי מופעים,ספסרות בכרטיסים תוך ביצוע עבירה,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,אי מילוי חובה חוקית,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,איבוד קשר עם היחידה,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,הטלת מום,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,העדר מן השרות שלא ברשות,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,השגת פטור כתוצאה מידיעה כוזבת,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,השגת צו לשם השתמטות משירות בטחון,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,התחלות,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,מסירת ידיעה כוזבת,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,עריקה,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,פטור משירות בטחון במרמה,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,שמירת רכוש צבא-כלי נשק/טיס/שיט/תחבו,
עבירות סדר ציבורי,עבירות ביחס לשירות הבטחון,שררה כלפי פקודים בנסיבות מחמירות,
עבירות סדר ציבורי,עבירות המיוחסות לדת,המרת דת קטין,
עבירות סדר ציבורי,עבירות המיוחסות לדת,הסגת גבול במקום פולחן או בקבורה,
עבירות סדר ציבורי,עבירות המיוחסות לדת,העלבת דת,
עבירות סדר ציבורי,עבירות המיוחסות לדת,הפרעה לפולחן,
עבירות סדר ציבורי,עבירות המיוחסות לדת,הצבת קיוסקים/דוכנים/עיסוק ברוכלות,
עבירות סדר ציבורי,עבירות המיוחסות לדת,חילול מקום קדוש,
עבירות סדר ציבורי,עבירות המיוחסות לדת,מתן הטבות כפתוי להמרת דת,
עבירות סדר ציבורי,עבירות המיוחסות לדת,עלבון דת,
עבירות סדר ציבורי,עבירות המיוחסות לדת,פגיעה בבניני ציבור או במצבות,
עבירות סדר ציבורי,עבירות המיוחסות לדת,פגיעה בחופש גישה למקום קדוש,
עבירות סדר ציבורי,עבירות המיוחסות לדת,פגיעה במקום פולחן,
עבירות סדר ציבורי,עבירות המיוחסות לדת,פגיעה ברגשי דת ע'י מלים,
עבירות סדר ציבורי,עבירות המיוחסות לדת,פגיעה ברגשי דת ע'י פרסום,
עבירות סדר ציבורי,עבירות המיוחסות לדת,פרסום העשוי לחלל רגשות דת,
עבירות סדר ציבורי,עבירות המיוחסות לדת,פשיטת יד וקבלת תרומות,
עבירות סדר ציבורי,עבירות המיוחסות לדת,קבלת הטבות תמורת המרת דת,
עבירות סדר ציבורי,עבירות המיוחסות לדת,קבלת טובות הנאה תמורת המרת דת,
עבירות סדר ציבורי,עבירות המיוחסות לדת,תקנות השמירה על מקומות קדושים ליהודים תשמ'א - 1981,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,"איסור הובלת ביצי מאכל שלא הוחתמו, ללא תעודת משלוח",
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,איסור יבוא ויצוא,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,איסור שיווק ביצים שלא על פי התקנות,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,החתמת ביצים,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,מוסר או מפרסם מידע בנוגע למזון שהוא מוכר שאינו תוא,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,מייבא או מוכר מזון שהתאריך האחרון לשימוש בו או שהת,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,מייצר מזון בלא רישיון ייצור לאתר שבו מיוצר המזון א,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,"מייצר, מייבא או מוכר מזון בניגוד לתקנות ובניגוד לה",
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,"מייצר, מייבא או מוכר מזון בניגוד לתקנות ובניגוד לה",
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,"מייצר, מייבא או מוכר מזון, בניגוד להוראות ס' 5(א)(",
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,"מייצר, מייבא או מוכר שאריות מזון, ובכלל זה מזון המ",
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,מסמן אורך חיי מדף בניגוד לתקנות לפי חוק זה או מייצ,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,"מעביר מוצר בשר לאתר מכירה, בניגוד להוראות רופא וטר",
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,מציע לציבור מזון שאינו ראוי למאכל אדם או שהוא פגום,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,מקבל מזון מיצרן שאינו בעל רישיון ייצור או מיבואן ש,
עבירות סדר ציבורי,עבירות המסכנות את בריאות הצבור,עשיית מעשה העלול להפיץ מחלה ברשלנות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,אי מילוי אחרי החלטת בית המשפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,אי מילוי אחרי החלטת בית המשפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,אי מסירת ידיעה או מסמך,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,אי ציות לצווים שניתנו כחוק,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,אי קיום צו בית המשפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,אי קיום צו בית המשפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,אי קיום צו בית משפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,אי קיום צו הפסקה שיפוטי,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,איומים או פיתויים בקשר לחקירה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,איסור יצוא יבוא ופרסום סמל ללא היתר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,איסור פרסום דיון בדלתיים סגורות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,איסור פרסום חשוד טרם הגשת כתב אישום,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,איסור פרסום עד מוגן,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,איסור פרסום צילום אדם מבימ'ש,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,איסור פרסום קטין,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,איסור פרסום קלטת,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,בזיון בית דין צבאי,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,בזיון בית משפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,בידוי ראיה/שימוש בה כדי להטעות בימ',
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,בידוי ראיות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,בריחה ממעצר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,בריחה ממעצר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,בריחה ממעצר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,בריחה ממשמורת,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,בריחה ממשמר חוקי - נאשם בפשע,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,גילוי או פרסום מידע חסוי ללו היתר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,גילוי/פרסום מידע בקשר לתוכנית ההגנה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,האזנת סתר או שימוש בה שלא כדין,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,האשמת שוא,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הגשת הצהרה כוזבת,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הדחה באיומים ובכח,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הדחה בחקירה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הדחה למניעת עדות במשפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הדחה לעדות במשפט בכח או באיומים,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הדחת אדם אחר לעדות שקר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הודעה כוזבת בהתחייבות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הוצאת מסמך ממשמורת,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הוצאת מסמך ממשמורת ע'י עובד ציבור,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,החזקה במקרקעי ציבור בניגוד לצו,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,"הטרדה בקשר לחקירה,או עדות",
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הטרדת אדם בנוגע להודעה בחקירה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הטרדת אדם בנוגע להודעה כשנושא נשק,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הטרדת אדם בנוגע לעדות בהליך שיפוטי,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הטרדת אדם בנוגע לעדות כשנושא נשק,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הטרדת עד,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הטרדת עד בנסיבות מחמירות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הטרדת עדים,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הכשלת חקירה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הכשלת מעצר או חיפוש חוקי,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הכשלת עיקול,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,המכניס חפץ בבית המעצר להקל הבריחה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,המנעות מלעזור לשוטר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,המסרב לחיפוש,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,המסרב לחיפוש חיצוני או פנימי,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,המסרב לנטילת אמצעי זיהוי,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הנעת אדם כאמור בס' ב(2) כשנושא נשק,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הנעת אדם/נסיון שבחקירה ימסור שקר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הנעת אדם/נסיון שבחקירה לא ימסור הוד,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הסתרת צוואה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הסתרת שטר קנין,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,העברה שלא כדין חפץ של אסיר/עצור,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,העברת מידע כוזב במחשב,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,העברת נגיף מחשב כדי לגרום נזק,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,העלבת עובד ציבור,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,העלמת מידע מהממונים או מרשות חוקית,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,העלמת מסמך,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הפרעה לבעל סמכות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הפרעה לעובד ציבור,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הפרעה לפקיד סעד,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הפרת הוראה חוקית,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הפרת הוראות הרשות לגבי סודיות תחקיר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הפרת חובה חקוקה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הפרת צו בימ'ש שנועד להגן על אדם,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הפרת צו הגנה על פי ח' אלימות במשפחה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הצבת מכשיר למטרת האזנת סתר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הצלה ממאסר - אדם שהורשע בפשע,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הצלה ממאסר - אדם שהורשע בפשע חמור,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,הצלה ממשמורת חוקית מקרים אחרים,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,השמדת ראיות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,השפעה בקשר לחקירה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,השפעה לא הוגנת על הליך שיפוטי,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,השפעה על מהלך משפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,התיימרות כבעל סמכות שפוטית,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,התיימרות לסמכות אישור מסמכים,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,התיימרות לסמכות לפעולות השבעה וכד',
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,זילות בית המשפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,זילות בית משפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,חובת מתן עדות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,חוק בתי המשפט תשי'ז - 1957,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,חיפוי בתמורה על עוון או פשע,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,ידיעה כוזבת על עבירה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,ידיעה כוזבת על עבירה מסוג פשע,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,ידיעות כוזבות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,יציאת ממעצר שלא כדין,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,כתיבת תוכנה שתוצאתה מידע כוזב,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,מניעת/הכשלת הליך שיפוטי/עיוות דין,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,מסירת ידיעה כוזבת,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,מתן הצהרות שקר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,ניסיון לעבור עבירה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,ניצול מעמד כשוטר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,סיוע לאחר מעשה עוון,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,סיוע לאחר מעשה פשע,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,סיוע לבריחה ממשמרת חוקית,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,סיוע לבריחה ע'י הכנסת חפצים לכלא,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,סירוב להעיד,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,עבירת תעבורה ללא הצדקה חוקית,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,עדויות סותרות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,עדות שקר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,עדות שקר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,עדות שקר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,עדות שקר או הדחה לשקר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,עדות שקר בבית דין,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,עדות שקר תמורת טובת הנאה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,עשיית מעשה העלול להפיץ מחלה בזדון,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,פרסום מסולף של דיון משפטי,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,פרסום פוגע על שלטי חוצות,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,פרסומים אסורים/מזיקים,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,פרסומים מיוחדים - ענין תלוי בבימ'ש,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,קבורה ללא רשיון,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,קבלת טובת הנאה שלא להעיד,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,קשירת קשר לעבור עבירה,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,שבועת שקר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,שבירת חותם רשמי,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,שחרור ממשמורת,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,שיבוש מהלכי משפט,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,שימוש בידיעה בדרך של האזנת סתר,
עבירות סדר ציבורי,עבירות הנוגעות לנחלת משפט,שמוש בכח או באיומים למנוע מעצר,
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,הזנחת מושגח,1
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,הזנחת קטין או מי שאינו מסוגל לדאוג לצורכי חייו,1
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,המסדר גירושין אסורים,
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,השארת ילד בלא השגחה ראויה,1
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,השגחה ברשלנות על ילד,1
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,השיא נערה שלא כחוק,
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,התנערות מקטין שמתחת לגיל 14,1
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,התרת נשואין על-כורחה של האשה,
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,מסדר נשואין אסורים,
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,נטישת ילד,1
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,נטישת מושגח,1
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,נטישת קטין,1
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,נשיאת נערה שלא כדין,
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,ערך או סייע לנישואין שלא כחוק,
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,פק' הנשואין והגרושין (רשום),
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,ריבוי נשואין,
עבירות סדר ציבורי,עבירות הנוגעות לנשואין,ריבוי נשואין,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,אחריות של עובד אחראי ברשות ציבורית,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,אי מלוי חובה ע'י עובד ציבור,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,אי מניעת עבירה מסוג פשע,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,אי מניעת פשע,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,אי מתן הודעה מוקדמת על ארגון עצרת,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,אי קיום בטיחות,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,אי שמירת סודיות,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור ארגון תחרות קרבות בין בעלי חיים,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור המתת בעל חיים ברעל,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור העבדת בעל חיים שאינו מסוגל,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור הפליה,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור הפלית אדם עם מוגבלות במקום ציבורי,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור הפלית אדם עם מוגבלות בשירות ציבורי,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור התעללות בבעלי חיים,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור חיתוך רקמה חיה,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור מכירת אגרופן או סכין לקטין,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור מכירת משקה משכר לקטין,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור נטישה של בעל חיים,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור עבודות,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור פרסומים,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,"איסור שימוש בדגל המדינה לשם מסחר, עסק או משלח יד ,",
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,איסור שיסוי,
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,"ביצוע עסקה אחרת בנשק, יצור, יבוא ויצוא נשק בלי רשו",1
עבירות סדר ציבורי,עבירות נגד הסדר הצבורי,"בעל עסק או עובד בעסק, המספק משקה משכר לשיכור  או מ",
